cases_0_submitter_id	cases_0_case_id	cases_0_samples_0_sample_type	data_type	cases_0_samples_0_tissue_type	file_name	cases_0_samples_0_submitter_id	cases_0_samples_0_portions_0_analytes_0_aliquots_0_aliquot_id	cases_0_samples_0_sample_id	file_id	data_category	cases_0_samples_0_tumor_descriptor	cases_0_samples_0_portions_0_analytes_0_aliquots_0_submitter_id
TCGA-AO-A1KQ	d2219a3f-4c55-4dee-9b08-c6f330dd1acf	Primary Tumor	Gene Expression Quantification		e30e547e-eeff-4a1f-829b-b6ec9e79f02a.FPKM.txt.gz	TCGA-AO-A1KQ-01A	204a78d9-67aa-4e49-b285-bbb25c6ed142	82df814f-5c83-413f-99f5-153aed79161c	1761e556-5077-47db-ad3e-8315decf9b46	Transcriptome Profiling		TCGA-AO-A1KQ-01A-11R-A13Q-07
TCGA-A1-A0SK	a5b44d66-c162-46b5-9df2-86305f0385c5	Primary Tumor	Gene Expression Quantification		b033c85a-2395-4ced-a84d-ac1fbce674bf.FPKM.txt.gz	TCGA-A1-A0SK-01A	a63583ca-0ef2-4417-b435-5f3a6951d0c2	dbd8fda0-bdf2-40f0-80b6-daef5ebf9c97	86bc1873-1354-4b0c-9054-84d3201fa5e4	Transcriptome Profiling		TCGA-A1-A0SK-01A-12R-A084-07
TCGA-AC-A8OS	d5e655fe-3fbc-47b0-ba23-1d1dd01d591c	Primary Tumor	Gene Expression Quantification		be5ceb98-a493-4cad-8bab-281342dea3d0.FPKM.txt.gz	TCGA-AC-A8OS-01A	c119a170-e1ba-4965-a9c6-5c0b41ceefba	b13ab974-e4a4-4926-bd17-17a1e9ca7ce6	9c5448d7-4786-4ac8-a5e5-8102c9d9b23a	Transcriptome Profiling		TCGA-AC-A8OS-01A-12R-A41B-07
TCGA-D8-A1XF	6f6afd31-b5dd-48ab-b18f-6390ba18a5f0	Primary Tumor	Gene Expression Quantification		683bed23-e01d-4ad4-b1c6-fb6e31a69492.FPKM.txt.gz	TCGA-D8-A1XF-01A	80562b20-3e3e-4f77-8ca2-958f8636d720	3b675bbd-b18e-4b72-b3c3-30527a9c157a	3b6676ae-7f53-4ce1-9b92-e80d7ca56c38	Transcriptome Profiling		TCGA-D8-A1XF-01A-11R-A14D-07
TCGA-BH-A201	3bf81a9f-abb4-4495-a514-fd3865e13a03	Primary Tumor	Gene Expression Quantification		17466fb1-5b0f-4872-a7fb-448a1057a32e.FPKM.txt.gz	TCGA-BH-A201-01A	a7050752-eefd-4576-a304-c79dc6fa30e7	7893162b-3d19-4c54-86ee-aa4884d84e8a	44f6f73c-9549-4a48-82b9-1b409e8907e1	Transcriptome Profiling		TCGA-BH-A201-01A-11R-A14M-07
TCGA-BH-A204	05135396-df5c-49db-b34e-f4add5b65a2b	Solid Tissue Normal	Gene Expression Quantification		3e19bb94-c3f1-4d42-868e-0bbc5defd999.FPKM.txt.gz	TCGA-BH-A204-11A	6b52803e-274b-4a1b-910f-2d307932bbb2	8511971e-372e-4dc1-96a9-3fea2298393b	ade3ba03-e34d-4c23-8ede-45eafb135a0c	Transcriptome Profiling		TCGA-BH-A204-11A-53R-A157-07
TCGA-BH-A0DQ	a851ca14-7bbf-455b-a054-ec03979a4247	Primary Tumor	Gene Expression Quantification		bdceb6c5-77d1-43e6-9046-1340502c2a60.FPKM.txt.gz	TCGA-BH-A0DQ-01A	6022db68-1e06-4974-b657-cd65aed560c4	10285a0d-d8cc-4c20-a8a2-8891d9807599	6640dc42-96f2-4872-8ea9-46a2e078abaf	Transcriptome Profiling		TCGA-BH-A0DQ-01A-11R-A084-07
TCGA-BH-A0H9	0f64edec-0f1f-4025-8a53-75f9534f7828	Solid Tissue Normal	Gene Expression Quantification		cbfa8434-6acf-4122-ab58-991efcc6aa6b.FPKM.txt.gz	TCGA-BH-A0H9-11A	27d4c881-e906-437f-921d-467eb107798a	6fe74906-b3c0-49dc-95d8-ef19326b2b35	922bfa9e-e605-4454-b764-17e5f5eeba90	Transcriptome Profiling		TCGA-BH-A0H9-11A-22R-A466-07
TCGA-E9-A1RC	5cdae21d-eee5-478f-932a-0f51fcf5f031	Primary Tumor	Gene Expression Quantification		f8c2f22d-5254-46c1-9b7d-429e5ac2854e.FPKM.txt.gz	TCGA-E9-A1RC-01A	00168e86-d23a-48ae-8c60-36d970051907	9eaa7f15-8a97-4a49-9e93-b5790a1fade0	da25349f-b9eb-47d0-b6fa-525ab5f71ab8	Transcriptome Profiling		TCGA-E9-A1RC-01A-11R-A157-07
TCGA-E2-A1IH	ec0155ab-1b14-498d-8fa9-9f63e3ccb990	Primary Tumor	Gene Expression Quantification		168e9550-9975-4230-847a-71d868d46fb6.FPKM.txt.gz	TCGA-E2-A1IH-01A	2d06908f-3332-4b77-b88c-145dc5c4828f	118fd65d-0b94-4663-a2a3-1f53b278711b	a29e708d-7579-4483-b704-3ade34ba0c1b	Transcriptome Profiling		TCGA-E2-A1IH-01A-11R-A13Q-07
TCGA-AR-A1AO	623befd6-0ca4-4a6c-9cf5-d9385c3b718f	Primary Tumor	Gene Expression Quantification		f5a07ef3-d47e-4c6f-8ed4-13c0b03f7673.FPKM.txt.gz	TCGA-AR-A1AO-01A	56183330-0700-46d7-b45f-6d915ae587fa	5cedca81-7593-48c9-8bed-ebd294347ce7	11fce91a-c0fb-490b-9d68-60394712bcdb	Transcriptome Profiling		TCGA-AR-A1AO-01A-11R-A12P-07
TCGA-BH-A1FU	c348a9b3-c901-4384-a222-144387bac0c5	Solid Tissue Normal	Gene Expression Quantification		db630aab-54b5-4729-852a-aec20152be99.FPKM.txt.gz	TCGA-BH-A1FU-11A	df661ba2-098b-49e0-884c-27cf2ecd87f2	08693317-d839-477c-b145-477a3521e03a	bfd5a673-0b6e-443b-9245-36d71c79426c	Transcriptome Profiling		TCGA-BH-A1FU-11A-23R-A14D-07
TCGA-A7-A0DB	f130f376-5801-40f9-975d-a7e2f7b5670d	Solid Tissue Normal	Gene Expression Quantification		7bca938a-45fa-4a07-ba7b-71796388e645.FPKM.txt.gz	TCGA-A7-A0DB-11A	3f3bdfbb-3490-42e4-9511-9df4b8a126a3	e2566ada-c2bf-4c25-bcd0-9f49f2d0b4a2	bafb1ae0-12f1-40b4-bbbc-ca2982ece54a	Transcriptome Profiling		TCGA-A7-A0DB-11A-33R-A089-07
TCGA-BH-A6R9	43cc074d-b85a-4b0b-8feb-833094ffc565	Primary Tumor	Gene Expression Quantification		669cf849-aa91-4d4a-b08d-7c10baf81d15.FPKM.txt.gz	TCGA-BH-A6R9-01A	7c73dae6-4478-4cbc-aee1-0b18e730f7a2	65842833-68a7-4efd-a781-19b5dc6bd257	cae3acf1-a34b-420a-a894-6df75cc04551	Transcriptome Profiling		TCGA-BH-A6R9-01A-21R-A32P-07
TCGA-A8-A09E	dfefb76a-ec6b-4cd2-9d45-2e1e4befc7ea	Primary Tumor	Gene Expression Quantification		fae9bd48-6621-4fdf-86dd-8555f9695a08.FPKM.txt.gz	TCGA-A8-A09E-01A	1bbb85e8-8f55-44e3-8bd8-58c0a46c43bd	b9140410-1ed1-4012-9637-412b7c688d68	2f957bca-e101-43c2-a7a0-a96a274044e5	Transcriptome Profiling		TCGA-A8-A09E-01A-11R-A00Z-07
TCGA-A2-A1FW	54883111-d475-4515-ba3f-fece8a71e79e	Primary Tumor	Gene Expression Quantification		98da76dd-0fb5-4313-a277-a122c205e843.FPKM.txt.gz	TCGA-A2-A1FW-01A	2f1af8cf-ded3-45b6-88cd-2c154c66ab8c	0dfe13f0-e1f5-4f7e-95b5-e88f9d9e920a	e5b96a53-6e03-4e9e-a080-f92f2bd8ceea	Transcriptome Profiling		TCGA-A2-A1FW-01A-11R-A13Q-07
TCGA-B6-A0RG	9b13927c-7357-44fd-8385-92ae6a656b7d	Primary Tumor	Gene Expression Quantification		74dfc8ec-405b-4ffa-a282-daac57bf4d01.FPKM.txt.gz	TCGA-B6-A0RG-01A	006e88ce-ad31-45bf-8da5-802f0e387b3a	b98aa84f-5144-4062-badc-32e89368d684	181c0148-e3b5-4739-844e-e5919446581e	Transcriptome Profiling		TCGA-B6-A0RG-01A-11R-A056-07
TCGA-AO-A12A	99927651-34be-4795-893a-128d8a1fdb30	Primary Tumor	Gene Expression Quantification		cf1a1478-68c1-431b-86cb-c4ddb105accf.FPKM.txt.gz	TCGA-AO-A12A-01A	3f4c6d17-a971-4ba0-83ad-3addc24f1298	e35fcfbe-0550-4a39-9996-5d178e3f40ef	62bf623d-24b6-45bf-b99a-91f6aae9773e	Transcriptome Profiling		TCGA-AO-A12A-01A-21R-A115-07
TCGA-BH-A0W7	9f80649b-a249-4fb5-97ad-059a30e13fea	Primary Tumor	Gene Expression Quantification		943f8d82-d39d-4621-a357-6ff69e85a6bf.FPKM.txt.gz	TCGA-BH-A0W7-01A	afaeb45f-d795-4fe0-b4ee-5b90816e6427	e61873d5-bfd2-4fcc-9f9e-ca80779d36b7	60da2284-25e2-4e70-b76f-47d9d6bfd0eb	Transcriptome Profiling		TCGA-BH-A0W7-01A-11R-A115-07
TCGA-AC-A2QJ	d9fd2724-7db0-4af3-ac14-217bdfa5203f	Primary Tumor	Gene Expression Quantification		c0055307-e827-4621-82ff-9702ae53df10.FPKM.txt.gz	TCGA-AC-A2QJ-01A	49a0f1eb-6ece-48fc-970f-3922263fd20b	a3afbb9f-f611-4bf7-a7f7-8db59022f66f	837edc9c-0d20-4889-a9cd-a54ed6b68d13	Transcriptome Profiling		TCGA-AC-A2QJ-01A-12R-A19W-07
TCGA-BH-A0H7	2021ed1f-dc75-4701-b8b8-1386466e4802	Primary Tumor	Gene Expression Quantification		1324ee08-213e-44c7-b28a-849d091ce308.FPKM.txt.gz	TCGA-BH-A0H7-01A	5969d3bb-19fb-4bda-9483-db4791257b95	69bfa6ce-ed46-4321-a107-347c49d68951	469a5899-b3a8-4b48-94e2-0d823d9681ba	Transcriptome Profiling		TCGA-BH-A0H7-01A-13R-A056-07
TCGA-C8-A1HO	b3354b72-2637-4edc-9a95-e55801d3ac13	Primary Tumor	Gene Expression Quantification		9f0897a4-db0c-43f8-9d75-8debe9b6c847.FPKM.txt.gz	TCGA-C8-A1HO-01A	1d8ecbae-6996-4d9d-bff8-ac761a8309ea	6e7092aa-e92c-4d9b-8ed1-f8c32f39fe80	1cc148e5-4de0-4726-a7bf-fdc1d12061d3	Transcriptome Profiling		TCGA-C8-A1HO-01A-11R-A13Q-07
TCGA-E9-A3Q9	e36e985d-2c44-4e14-854a-7dbca4bb0304	Primary Tumor	Gene Expression Quantification		985e098e-2c19-41ff-9f7c-2a375b269698.FPKM.txt.gz	TCGA-E9-A3Q9-01A	941748e8-5690-4e98-a5f4-d79b0e033ba1	5d1cb65a-7798-455d-8100-25871cec5a47	5bd83cf8-8f78-4c59-a6af-8cc053c9f74c	Transcriptome Profiling		TCGA-E9-A3Q9-01A-11R-A21T-07
TCGA-OL-A97C	6ffd1b8c-6f0b-456a-9160-e0c8021e5897	Primary Tumor	Gene Expression Quantification		677dde68-3c06-4e1d-9250-8a99c84643c3.FPKM.txt.gz	TCGA-OL-A97C-01A	590ae2bc-c076-4547-97dc-e2c8a0d396a6	533d59ab-89cb-485f-934d-f22d8b602ee3	9813e738-5284-465d-afd6-1e90a1e49c22	Transcriptome Profiling		TCGA-OL-A97C-01A-32R-A41B-07
TCGA-A1-A0SE	c397e6c2-ba3a-4f5e-a258-c140611192fe	Primary Tumor	Gene Expression Quantification		b76eefac-da30-4ee4-9670-4afc45f86b4b.FPKM.txt.gz	TCGA-A1-A0SE-01A	a998e0ce-9248-460f-aabc-2dad452a1ff9	2fd1998c-1ea4-42eb-84b9-db352da9cf25	c4fd07b2-0ff1-4215-b951-e1c2a147aecf	Transcriptome Profiling		TCGA-A1-A0SE-01A-11R-A084-07
TCGA-A2-A25C	7aedb46a-48ec-4e0e-8baa-c9ea4c4a7cf1	Primary Tumor	Gene Expression Quantification		103f15cb-936b-4859-a8d5-5cda17ffabcb.FPKM.txt.gz	TCGA-A2-A25C-01A	f5b16ba5-0fd1-4ca4-865f-fdff0af65901	9d657232-b6b4-4100-833c-5f94059a9ba7	af468487-39bf-4edd-a5f6-e0cb59f242b8	Transcriptome Profiling		TCGA-A2-A25C-01A-11R-A169-07
TCGA-Z7-A8R5	23f438bd-1dbb-4d46-972f-1e8e74ddbd37	Primary Tumor	Gene Expression Quantification		94719fc5-6ae9-410a-a15b-49ffe3753d2d.FPKM.txt.gz	TCGA-Z7-A8R5-01A	43c6d23b-2fcd-499e-82ef-10f15d8ede90	93ce6743-424b-4a1e-8748-e11756399b2b	4406b628-d518-4f35-bb0e-fb67ea138113	Transcriptome Profiling		TCGA-Z7-A8R5-01A-42R-A41B-07
TCGA-BH-A0E0	20e8106b-1290-4735-abe4-7621e08e3dc8	Primary Tumor	Gene Expression Quantification		02759563-fa2b-4d96-ab78-dd7fee7513d4.FPKM.txt.gz	TCGA-BH-A0E0-01A	fac9101c-a974-4415-9eac-d2d433d02b13	662cc11c-da31-4e31-8e77-46011b38ea96	9618d91d-9caf-45cc-a119-fc1834b4fde7	Transcriptome Profiling		TCGA-BH-A0E0-01A-11R-A056-07
TCGA-E2-A1B1	8a0ef221-8070-43fc-9d98-def90abe4871	Primary Tumor	Gene Expression Quantification		83da7937-9e38-46f0-967a-bcfaeaea1588.FPKM.txt.gz	TCGA-E2-A1B1-01A	2aa34033-a6f5-45a8-833b-b433352e58ba	1cb37b69-c0a9-4b5c-baf5-4107d0e029ad	618118ed-e4b2-407f-85bf-6fcfc281fa95	Transcriptome Profiling		TCGA-E2-A1B1-01A-21R-A12P-07
TCGA-E9-A1NG	659b0170-e914-45ff-aa55-fcb8d3dc7b8a	Solid Tissue Normal	Gene Expression Quantification		071c5b23-9ae3-4bc7-8a07-ce39445c8429.FPKM.txt.gz	TCGA-E9-A1NG-11A	a4172e12-2a82-436e-8cb9-a532dc0e9ec4	ec92d7b1-ad80-4f3d-a8e8-3160941c24ac	556eeafc-8d06-45ac-90e7-481d4ab939b4	Transcriptome Profiling		TCGA-E9-A1NG-11A-52R-A14M-07
TCGA-BH-A0BZ	4a032bad-e726-48f2-8f39-e3acc109cc91	Primary Tumor	Gene Expression Quantification		fced57a8-570a-4f05-aa10-4e16aa7ecc85.FPKM.txt.gz	TCGA-BH-A0BZ-01A	317ffb84-f4a8-435b-907b-b05587d6515e	55906ee0-a385-4ec9-8515-90ab613eca35	6c9e50f9-22df-42cb-9fbb-7dc509ce4688	Transcriptome Profiling		TCGA-BH-A0BZ-01A-31R-A12P-07
TCGA-AO-A03M	095c7985-3842-494f-b591-706ad1cd2133	Primary Tumor	Gene Expression Quantification		be43daa7-9c1e-4721-9f25-3131e81fd25d.FPKM.txt.gz	TCGA-AO-A03M-01B	f65936bc-02d6-4954-9068-0fb7c930d685	79af2c1a-1da2-4207-8ce8-b5d3d418066d	1a5eb7a6-ce3a-4108-b479-631c089fbe58	Transcriptome Profiling		TCGA-AO-A03M-01B-11R-A10J-07
TCGA-A2-A0EV	7032ec9c-e96b-4642-a7b6-d0aee7a3add2	Primary Tumor	Gene Expression Quantification		96b44e28-67a2-4781-a85b-c82fe528157d.FPKM.txt.gz	TCGA-A2-A0EV-01A	75cd6423-52b8-4d29-97de-1fe2583dbac1	bf0f55ac-2f35-4f8b-a1d9-c4e283fc7365	d1500523-feb5-4b01-94d7-28d9ebf1fb74	Transcriptome Profiling		TCGA-A2-A0EV-01A-11R-A034-07
TCGA-BH-A1FR	bf3b1481-ae31-4406-b084-b6cc1d7163e3	Solid Tissue Normal	Gene Expression Quantification		0d38dab7-b983-4829-9a5b-d79f0fee6f26.FPKM.txt.gz	TCGA-BH-A1FR-11B	c2db17b1-c288-4f73-8e22-22929d846678	0729326e-9b85-44f5-8134-28cb10805bf4	520d56e9-ae48-4264-8aa0-f6c94626c367	Transcriptome Profiling		TCGA-BH-A1FR-11B-42R-A13Q-07
TCGA-AR-A24L	de646f6a-6d50-4be2-b3cd-f17554b234df	Primary Tumor	Gene Expression Quantification		93c46e63-3686-4883-a9de-7606ddfc11f0.FPKM.txt.gz	TCGA-AR-A24L-01A	bfa78a45-16bf-410a-816d-bd369ded91e5	f773ae1d-0ad9-42dd-9675-c8b7287fec85	034375d5-42e7-469b-a6f3-2d863122f3ca	Transcriptome Profiling		TCGA-AR-A24L-01A-11R-A169-07
TCGA-AC-A62X	5b2a4f11-ca46-4974-9420-59b4820920bf	Primary Tumor	Gene Expression Quantification		6cb1791d-bda0-44de-ac3f-5405ba1ac5ec.FPKM.txt.gz	TCGA-AC-A62X-01A	cdc523d2-da82-4a3d-a97e-9745c8a802d1	5aeef496-2885-42d7-802e-319b76bbe215	a4c15921-96e9-4e93-8845-633791fced0a	Transcriptome Profiling		TCGA-AC-A62X-01A-11R-A29R-07
TCGA-A2-A0YJ	796b593f-5886-4a27-bf94-7ea8df325e1a	Primary Tumor	Gene Expression Quantification		5af9d74c-549b-4a44-8918-b80b4bc6fab4.FPKM.txt.gz	TCGA-A2-A0YJ-01A	330bf4ac-9ed5-4bd1-93d0-f89b4f52bc19	3c70741c-621e-434d-b98e-6561d05a1b4b	146869ea-af75-434a-afab-3e5fd625a0da	Transcriptome Profiling		TCGA-A2-A0YJ-01A-11R-A109-07
TCGA-BH-A0DL	ba39bfbc-5cac-4f6c-b55c-4eee3466ee93	Solid Tissue Normal	Gene Expression Quantification		352a2653-8001-44cd-852c-288684114104.FPKM.txt.gz	TCGA-BH-A0DL-11A	f6745ef4-b601-4d5f-bb7a-0bf7e1f1671d	471df7ad-c811-4411-9ade-277233a1053f	55fdfe40-28af-4b5a-a68f-8d2eeedebd62	Transcriptome Profiling		TCGA-BH-A0DL-11A-13R-A115-07
TCGA-C8-A130	8cf54607-01ce-42b0-9bd9-8627edd9f3b7	Primary Tumor	Gene Expression Quantification		bf78430f-6c70-4e76-ade6-a434e0770d5f.FPKM.txt.gz	TCGA-C8-A130-01A	697dfcbf-0c6b-4cae-b851-d46dd6be42c9	3bea8456-da16-4691-a260-5c94a83e2860	4725754f-205f-49af-9a77-1ee49e5779cd	Transcriptome Profiling		TCGA-C8-A130-01A-31R-A115-07
TCGA-BH-A0B6	fa4e082a-d213-412e-8d91-842a6f4bef12	Primary Tumor	Gene Expression Quantification		3a3d56a9-e18a-4346-9350-bed393553080.FPKM.txt.gz	TCGA-BH-A0B6-01A	b455387f-a8b4-43b8-b898-89628723d7da	930b82a6-a039-4f8f-8487-b0abb4fe7aba	932fe85f-b083-4669-b527-a4bd45fc4db6	Transcriptome Profiling		TCGA-BH-A0B6-01A-11R-A19W-07
TCGA-AR-A24N	30047d32-0833-4aca-98d1-3b9ab7122863	Primary Tumor	Gene Expression Quantification		f77842a7-a3c8-4556-b707-0adf1a706895.FPKM.txt.gz	TCGA-AR-A24N-01A	48bf0fa5-66c2-495d-93ef-943bc7ff31ac	dcc31bf1-9890-4fb1-9677-b5fb77e1fc37	cd6891b1-3411-49ec-9003-f22d1c2287c5	Transcriptome Profiling		TCGA-AR-A24N-01A-11R-A169-07
TCGA-E9-A1R5	23c21dea-3713-408f-ba56-f7c586e9f206	Primary Tumor	Gene Expression Quantification		34cfd6c0-ebeb-446e-aa8c-a33358c6bdde.FPKM.txt.gz	TCGA-E9-A1R5-01A	7b06a333-ba77-41dd-bfd1-4824fe43d06f	9f6511cf-f17a-48b9-8e58-9c251bd5e8f4	1c36bec6-b398-44ba-832c-13269e659027	Transcriptome Profiling		TCGA-E9-A1R5-01A-11R-A14M-07
TCGA-BH-A18F	bfd49783-1767-469b-9d79-7822301c5efc	Primary Tumor	Gene Expression Quantification		5a4ccc96-fd1b-4237-b8f1-1344b880fa00.FPKM.txt.gz	TCGA-BH-A18F-01A	eed6d177-6cec-493a-b811-1779bebae72a	adbf4056-e7d4-4282-8771-f2d6029386ab	092aea33-c867-4580-8a80-628da99124cd	Transcriptome Profiling		TCGA-BH-A18F-01A-11R-A12D-07
TCGA-GM-A3XG	6f0fd68f-ed6a-4c9e-be02-c97ba4950f76	Primary Tumor	Gene Expression Quantification		7f2c3de9-a1b9-413a-821c-02dbcad4ea0b.FPKM.txt.gz	TCGA-GM-A3XG-01A	718c3d2a-517e-4e32-a96b-ef17848d56d8	a172db3e-b6d5-4153-adec-9e772d6c1971	0eb22d75-5ad0-49f0-bc88-79fcd1838997	Transcriptome Profiling		TCGA-GM-A3XG-01A-31R-A24H-07
TCGA-BH-A0AW	c5891c7a-fd24-4891-8f51-373967e4a6dd	Primary Tumor	Gene Expression Quantification		dfd9671e-62eb-41d1-9bf3-0f1cb5d52f03.FPKM.txt.gz	TCGA-BH-A0AW-01A	8b615995-6210-4dd5-bf58-cf8a109d7648	18bb30b2-6018-45af-9393-f7a8ea40fa04	1c6cda88-a2f9-4cf4-89a2-5b2bceec41df	Transcriptome Profiling		TCGA-BH-A0AW-01A-11R-A056-07
TCGA-E2-A1BC	d8492ebd-3d94-4a4b-8de7-386526691cc2	Solid Tissue Normal	Gene Expression Quantification		cd20a78a-7e98-4601-8cf0-3a121d58613c.FPKM.txt.gz	TCGA-E2-A1BC-11A	afe373b9-f1c1-412d-9506-091749d47534	d221f2c8-5852-4392-b166-92b709000e78	fb635b12-25da-4cd8-ba90-10c45abcd9ab	Transcriptome Profiling		TCGA-E2-A1BC-11A-32R-A12P-07
TCGA-EW-A1OW	f55dd73d-8c36-440b-84e5-9aae53107775	Primary Tumor	Gene Expression Quantification		15f8a6a7-ab64-4106-b52f-601e3c5d92c5.FPKM.txt.gz	TCGA-EW-A1OW-01A	21cc5775-0987-4088-b19c-86bf43f09bb2	9f55d963-2c1d-4886-980e-edff099babf5	be3f42fc-c6a8-4035-8b1d-41660c65ae8b	Transcriptome Profiling		TCGA-EW-A1OW-01A-21R-A144-07
